run_id,formula,method,seed,epoch,xrd_mean,xrd_err,xrd_max,xrd_min,reward_mean,reward_err,reward_max,reward_min,advantage_mean,advantage_std,ppo_objective,log_ratio_to_reference,clip_fraction,ratio_mean,ratio_max,approx_kl_old,grad_norm,score_p10,score_p50,score_p90,attempt,unique_space_groups,unique_wyckoff_sequences,unique_atom_sequences,unique_WA_combinations,replay_epoch
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,12,0.422719,0.009354,0.517959,0.296899,0.422719,0.009354,0.517959,0.296899,0.0,1.0,0.000754,-0.000542,0.0,0.999597,1.010187,8e-06,276.37146,0.364975,0.418727,0.483869,32,28,24,9,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,13,0.409458,0.00865,0.525899,0.341147,0.409458,0.00865,0.525899,0.341147,-0.0,1.0,0.005762,-0.015213,0.0,1.001708,1.038211,4.4e-05,440.523376,0.359554,0.399514,0.475725,32,26,27,8,27,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,14,0.41972,0.014844,0.77692,0.329042,0.41972,0.014844,0.77692,0.329042,0.0,1.0,0.000681,0.008167,0.0,0.999705,1.007681,1.4e-05,131.195297,0.33658,0.404159,0.48965,32,30,26,8,26,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,15,0.424222,0.01295,0.663327,0.302199,0.424222,0.01295,0.663327,0.302199,-0.0,1.0,0.002594,-0.020261,0.0,1.00161,1.028963,3.2e-05,279.114166,0.359954,0.409518,0.502224,32,28,24,8,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,16,0.416136,0.009588,0.507941,0.30112,0.416136,0.009588,0.507941,0.30112,-0.0,1.0,0.008634,-0.015648,0.0,0.998531,1.03311,0.000105,380.405243,0.345183,0.42035,0.486957,32,30,24,8,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,17,0.404699,0.016377,0.532542,0.0,0.404699,0.016377,0.532542,0.0,0.0,1.0,0.006476,-0.021187,0.0,1.000902,1.054013,0.000115,363.375,0.32823,0.40934,0.495567,32,28,22,11,22,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,18,0.420969,0.013417,0.676917,0.282751,0.420969,0.013417,0.676917,0.282751,0.0,1.0,0.001323,0.041651,0.0,0.995236,1.027098,0.000113,328.055786,0.353115,0.410422,0.491159,32,28,21,9,21,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,19,0.397405,0.015865,0.589697,0.0,0.397405,0.015865,0.589697,0.0,0.0,1.0,0.00044,0.040284,0.0,0.999609,1.032579,4.5e-05,305.810699,0.350025,0.405231,0.466523,32,26,22,6,22,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,20,0.45981,0.017886,0.869566,0.338921,0.45981,0.017886,0.869566,0.338921,0.0,1.0,0.006764,-0.00737,0.0,0.993962,1.026328,0.000199,230.514313,0.380388,0.430298,0.567698,32,29,26,10,26,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,21,0.417235,0.009697,0.526247,0.336718,0.417235,0.009697,0.526247,0.336718,0.0,1.0,0.002165,0.00727,0.0,0.997229,1.018843,8.8e-05,260.518799,0.358019,0.415969,0.492204,32,29,20,8,20,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,22,0.420102,0.01123,0.668428,0.331616,0.420102,0.01123,0.668428,0.331616,0.0,1.0,-0.002601,0.030834,0.0,1.002347,1.029683,0.000108,480.61853,0.351993,0.412774,0.480167,32,25,24,7,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,23,0.402888,0.008835,0.537097,0.310711,0.402888,0.008835,0.537097,0.310711,0.0,1.0,-0.00478,0.058293,0.0,0.99807,1.010626,2.7e-05,152.55806,0.354617,0.389726,0.459536,32,26,19,9,19,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,24,0.424848,0.013499,0.697499,0.336182,0.424848,0.013499,0.697499,0.336182,0.0,1.0,-9e-05,0.017187,0.0,1.000031,1.022209,4e-05,283.57959,0.354998,0.410539,0.491718,32,28,26,9,26,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,25,0.400741,0.017551,0.598634,0.0,0.400741,0.017551,0.598634,0.0,-0.0,1.0,0.00702,0.012376,0.0,0.999928,1.026919,0.000152,567.81543,0.313595,0.405807,0.506203,32,28,24,8,24,-1
case_02_Zr_peak_penalized_heads_seed9712,Zr,peak_penalized,9712,1,0.331252,0.011261,0.4683,0.175087,0.331252,0.011261,0.4683,0.175087,-0.0,1.0,0.006693,0.000549,0.0,1.000693,1.07084,0.000145,138.510468,0.27013,0.340494,0.396069,32,28,23,8,23,-1
case_02_Zr_peak_penalized_heads_seed9712,Zr,peak_penalized,9712,2,0.327457,0.010658,0.436508,0.212795,0.327457,0.010658,0.436508,0.212795,-0.0,1.0,0.008705,-0.004495,0.0,0.992434,1.082667,0.000633,363.802582,0.254301,0.314475,0.420735,32,28,26,8,26,-1
case_02_Zr_peak_penalized_heads_seed9712,Zr,peak_penalized,9712,3,0.339202,0.008799,0.430775,0.249069,0.339202,0.008799,0.430775,0.249069,0.0,1.0,0.009411,0.010664,0.0,1.006248,1.096565,0.000446,458.18158,0.278977,0.330557,0.406831,32,26,21,7,21,-1
case_02_Zr_peak_penalized_heads_seed9712,Zr,peak_penalized,9712,4,0.333937,0.010364,0.524524,0.23442,0.333937,0.010364,0.524524,0.23442,-0.0,1.0,0.003689,0.017655,0.0,1.000748,1.052129,0.000137,478.55246,0.276767,0.320385,0.390545,32,30,23,8,23,-1
case_02_Zr_peak_penalized_heads_seed9712,Zr,peak_penalized,9712,5,0.335486,0.008164,0.435585,0.240218,0.335486,0.008164,0.435585,0.240218,0.0,1.0,0.003599,-0.006836,0.0,0.998676,1.024116,6.2e-05,285.581238,0.277573,0.338159,0.39905,32,26,22,6,22,-1
