formula,checkpoint_epoch,metric,comparison,pairs,mean_difference,std_difference,positive_pairs,negative_pairs,zero_pairs,exact_sign_flip_p_two_sided
Li2TeC2,50,mean_peak_score,cosine_minus_base,3,0.009737629507617232,0.01595072063385799,2,1,0,0.5
Li2TeC2,50,mean_peak_score,peak_minus_base,3,0.0026326986740127603,0.012767371838864242,2,1,0,0.75
Li2TeC2,50,mean_cosine_score,peak_minus_cosine,3,0.0021218921998393536,0.0031165979753225758,2,1,0,0.5
Li2TeC2,50,mean_cosine_score,cosine_minus_base,3,0.007931956934913045,0.0013457113988943165,3,0,0,0.25
Li2TeC2,50,mean_cosine_score,peak_minus_base,3,0.010053849134752399,0.0027913485460228015,3,0,0,0.25
Li2TeC2,50,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,valid_xrd,peak_minus_cosine,3,1.0,0.816496580927726,2,0,1,0.5
Li2TeC2,50,valid_xrd,cosine_minus_base,3,-0.3333333333333333,2.0548046676563256,1,1,1,1.0
Li2TeC2,50,valid_xrd,peak_minus_base,3,0.6666666666666666,1.699673171197595,1,1,1,1.0
Li2TeC2,50,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,mean_peak_score,peak_minus_cosine,3,-0.009232462807527467,0.010319488346457342,1,2,0,0.5
Li2TeC2,100,mean_peak_score,cosine_minus_base,3,0.00803751051701033,0.006383002480509531,3,0,0,0.25
Li2TeC2,100,mean_peak_score,peak_minus_base,3,-0.0011949522905171372,0.0161493197114054,1,2,0,1.0
Li2TeC2,100,mean_cosine_score,peak_minus_cosine,3,-0.006770998153114975,0.004494214509838407,0,3,0,0.25
Li2TeC2,100,mean_cosine_score,cosine_minus_base,3,0.010899374264614634,0.007350594461805734,3,0,0,0.25
Li2TeC2,100,mean_cosine_score,peak_minus_base,3,0.00412837611149966,0.008858935333577839,2,1,0,0.5
Li2TeC2,100,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,valid_xrd,peak_minus_cosine,3,-1.0,0.816496580927726,0,2,1,0.5
Li2TeC2,100,valid_xrd,cosine_minus_base,3,0.3333333333333333,1.247219128924647,1,1,1,1.0
Li2TeC2,100,valid_xrd,peak_minus_base,3,-0.6666666666666666,1.8856180831641267,1,2,0,1.0
Li2TeC2,100,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,100,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,mean_peak_score,peak_minus_cosine,3,0.003516174868638163,0.002870104424374066,3,0,0,0.25
NaNiH3,20,mean_peak_score,cosine_minus_base,3,-0.00669277344429083,0.003984867077777949,0,3,0,0.25
NaNiH3,20,mean_peak_score,peak_minus_base,3,-0.003176598575652667,0.0013355707732137815,0,3,0,0.25
NaNiH3,20,mean_cosine_score,peak_minus_cosine,3,2.8873181626143385e-07,1.675649193625678e-05,1,2,0,1.0
NaNiH3,20,mean_cosine_score,cosine_minus_base,3,-0.002479486140226167,0.0016216716752061784,0,3,0,0.25
NaNiH3,20,mean_cosine_score,peak_minus_base,3,-0.0024791974084099055,0.0016352149702361003,0,3,0,0.25
NaNiH3,20,structure_matches,peak_minus_cosine,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NaNiH3,20,structure_matches,cosine_minus_base,3,-0.3333333333333333,0.4714045207910317,0,1,2,1.0
NaNiH3,20,structure_matches,peak_minus_base,3,0.0,0.816496580927726,1,1,1,1.0
NaNiH3,20,valid_xrd,peak_minus_cosine,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NaNiH3,20,valid_xrd,cosine_minus_base,3,-1.3333333333333333,0.4714045207910317,0,3,0,0.25
NaNiH3,20,valid_xrd,peak_minus_base,3,-1.0,0.816496580927726,0,2,1,0.5
NaNiH3,20,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,20,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,mean_peak_score,peak_minus_cosine,3,0.00508240931322701,0.004927179197472599,2,1,0,0.5
NaNiH3,50,mean_peak_score,cosine_minus_base,3,-0.007565876801683173,0.004034595060740879,0,3,0,0.25
NaNiH3,50,mean_peak_score,peak_minus_base,3,-0.0024834674884561627,0.0025881590730761146,1,2,0,0.5
NaNiH3,50,mean_cosine_score,peak_minus_cosine,3,0.00015048077529331016,0.002463544715446226,1,2,0,1.0
NaNiH3,50,mean_cosine_score,cosine_minus_base,3,-0.0024716213510307485,0.0023051734401884853,0,3,0,0.25
NaNiH3,50,mean_cosine_score,peak_minus_base,3,-0.0023211405757374384,0.0005854120681734492,0,3,0,0.25
NaNiH3,50,structure_matches,peak_minus_cosine,3,0.6666666666666666,2.0548046676563256,2,1,0,0.75
NaNiH3,50,structure_matches,cosine_minus_base,3,-0.3333333333333333,0.4714045207910317,0,1,2,1.0
NaNiH3,50,structure_matches,peak_minus_base,3,0.3333333333333333,2.494438257849294,2,1,0,1.0
NaNiH3,50,valid_xrd,peak_minus_cosine,3,0.3333333333333333,0.9428090415820634,2,1,0,1.0
NaNiH3,50,valid_xrd,cosine_minus_base,3,-1.3333333333333333,0.4714045207910317,0,3,0,0.25
NaNiH3,50,valid_xrd,peak_minus_base,3,-1.0,0.816496580927726,0,2,1,0.5
NaNiH3,50,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,top10_peak_structure_matches,peak_minus_cosine,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NaNiH3,50,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,top10_peak_structure_matches,peak_minus_base,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
NaNiH3,50,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,50,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,mean_peak_score,peak_minus_cosine,3,0.006607471552024087,0.003780475147119716,3,0,0,0.25
NaNiH3,100,mean_peak_score,cosine_minus_base,3,-0.003985146224846248,0.00440316980607097,1,2,0,0.5
NaNiH3,100,mean_peak_score,peak_minus_base,3,0.00262232532717784,0.003009196371475732,2,1,0,0.5
NaNiH3,100,mean_cosine_score,peak_minus_cosine,3,0.0006276298889154042,0.001837563735036192,2,1,0,0.75
NaNiH3,100,mean_cosine_score,cosine_minus_base,3,7.444376960665429e-05,0.0012083368829421957,2,1,0,1.0
NaNiH3,100,mean_cosine_score,peak_minus_base,3,0.0007020736585220585,0.0030042201473115503,2,1,0,0.75
NaNiH3,100,structure_matches,peak_minus_cosine,3,-0.3333333333333333,3.2998316455372216,1,2,0,1.0
NaNiH3,100,structure_matches,cosine_minus_base,3,-0.3333333333333333,0.4714045207910317,0,1,2,1.0
NaNiH3,100,structure_matches,peak_minus_base,3,-0.6666666666666666,3.681787005729087,1,2,0,0.75
NaNiH3,100,valid_xrd,peak_minus_cosine,3,0.6666666666666666,1.247219128924647,2,1,0,0.75
NaNiH3,100,valid_xrd,cosine_minus_base,3,-0.3333333333333333,0.4714045207910317,0,1,2,1.0
NaNiH3,100,valid_xrd,peak_minus_base,3,0.3333333333333333,0.9428090415820634,2,1,0,1.0
NaNiH3,100,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
NaNiH3,100,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
ALL,20,mean_peak_score,peak_minus_cosine,12,0.0008117644988934886,0.004288153001739243,8,4,0,0.5546875
ALL,20,mean_peak_score,cosine_minus_base,12,-0.0006929436538620076,0.006116850143135983,5,7,0,0.712890625
ALL,20,mean_peak_score,peak_minus_base,12,0.00011882084503148094,0.005147073401399787,5,7,0,0.96728515625
ALL,20,mean_cosine_score,peak_minus_cosine,12,0.0006768346929860355,0.005042797557334223,6,6,0,0.775390625
ALL,20,mean_cosine_score,cosine_minus_base,12,0.00013444728652799165,0.004167143667217642,3,9,0,0.91845703125
ALL,20,mean_cosine_score,peak_minus_base,12,0.0008112819795140271,0.004789738788864808,4,8,0,0.75927734375
ALL,20,structure_matches,peak_minus_cosine,12,0.08333333333333333,0.27638539919628335,1,0,11,1.0
ALL,20,structure_matches,cosine_minus_base,12,-0.08333333333333333,0.27638539919628335,0,1,11,1.0
ALL,20,structure_matches,peak_minus_base,12,0.0,0.408248290463863,1,1,10,1.0
ALL,20,valid_xrd,peak_minus_cosine,12,0.08333333333333333,1.3202482931462383,3,2,7,1.0
ALL,20,valid_xrd,cosine_minus_base,12,-0.25,1.479019945774904,3,5,4,0.71875
ALL,20,valid_xrd,peak_minus_base,12,-0.16666666666666666,0.6871842709362768,1,2,9,0.75
ALL,20,formula_match_sampler,peak_minus_cosine,12,0.0,0.0,0,0,12,1.0
ALL,20,formula_match_sampler,cosine_minus_base,12,0.0,0.0,0,0,12,1.0
ALL,20,formula_match_sampler,peak_minus_base,12,0.0,0.0,0,0,12,1.0
ALL,20,top10_peak_structure_matches,peak_minus_cosine,12,0.0,0.0,0,0,12,1.0
ALL,20,top10_peak_structure_matches,cosine_minus_base,12,0.0,0.0,0,0,12,1.0
